year,temp,location,site_name,site_number
1910,15.6,Auckland,Albert Park,1
1911,15,Auckland,Albert Park,1
1912,14.2,Auckland,Albert Park,1
1913,14.4,Auckland,Albert Park,1
1914,14.3,Auckland,Albert Park,1
1915,15,Auckland,Albert Park,1
1916,15.9,Auckland,Albert Park,1
1917,15.5,Auckland,Albert Park,1
1918,14.8,Auckland,Albert Park,1
1919,14.1,Auckland,Albert Park,1
1920,14.6,Auckland,Albert Park,1
1921,14.9,Auckland,Albert Park,1
1922,15.2,Auckland,Albert Park,1
1923,14.7,Auckland,Albert Park,1
1924,15.6,Auckland,Albert Park,1
1925,14.7,Auckland,Albert Park,1
1926,14.7,Auckland,Albert Park,1
1927,14.7,Auckland,Albert Park,1
1928,15.8,Auckland,Albert Park,1
1929,15.3,Auckland,Albert Park,1
1930,14.6,Auckland,Albert Park,1
1931,14.7,Auckland,Albert Park,1
1932,14.9,Auckland,Albert Park,1
1933,15.3,Auckland,Albert Park,1
1934,15.2,Auckland,Albert Park,1
1935,15.5,Auckland,Albert Park,1
1936,14.9,Auckland,Albert Park,1
1937,14.8,Auckland,Albert Park,1
1938,16.2,Auckland,Albert Park,1
1939,14.8,Auckland,Albert Park,1
1940,14.7,Auckland,Albert Park,1
1941,14.9,Auckland,Albert Park,1
1942,15.3,Auckland,Albert Park,1
1943,15,Auckland,Albert Park,1
1944,14.8,Auckland,Albert Park,1
1945,14.5,Auckland,Albert Park,1
1946,15.3,Auckland,Albert Park,1
1947,15.1,Auckland,Albert Park,1
1948,15.5,Auckland,Albert Park,1
1949,15.2,Auckland,Albert Park,1
1950,15.8,Auckland,Albert Park,1
1951,15.2,Auckland,Albert Park,2
1952,15.3,Auckland,Albert Park,2
1953,15.6,Auckland,Albert Park,2
1954,15.8,Auckland,Albert Park,2
1955,16.1,Auckland,Albert Park,2
1956,16.2,Auckland,Albert Park,2
1957,15.5,Auckland,Albert Park,2
1958,15.8,Auckland,Albert Park,2
1959,15.4,Auckland,Albert Park,2
1960,15.4,Auckland,Albert Park,2
1961,15.5,Auckland,Albert Park,2
1962,16.2,Auckland,Albert Park,2
1963,15.4,Auckland,Albert Park,2
1964,15.2,Auckland,Albert Park,2
1965,14.9,Auckland,Albert Park,2
1966,15.3,Auckland,Albert Park,2
1967,15.7,Auckland,Albert Park,2
1968,15.4,Auckland,Albert Park,2
1969,15.3,Auckland,Albert Park,2
1970,16.3,Auckland,Albert Park,2
1971,16.5,Auckland,Albert Park,2
1972,15.7,Auckland,Albert Park,2
1973,16.2,Auckland,Albert Park,2
1974,16.6,Auckland,Albert Park,2
1975,16.2,Auckland,Albert Park,2
1976,15.3,Auckland,Albert Park,2
1977,14.5,Auckland,Mangere,3
1978,15.2,Auckland,Mangere,3
1979,15.5,Auckland,Mangere,3
1980,14.8,Auckland,Mangere,3
1981,15.6,Auckland,Mangere,3
1982,14.6,Auckland,Mangere,3
1983,14.8,Auckland,Mangere,3
1984,15.3,Auckland,Mangere,3
1985,15.3,Auckland,Mangere,3
1986,15.3,Auckland,Mangere,3
1987,15.4,Auckland,Mangere,3
1988,15.8,Auckland,Mangere,3
1989,15.5,Auckland,Mangere,3
1990,15.8,Auckland,Mangere,3
1991,15,Auckland,Mangere,3
1992,14.5,Auckland,Mangere,3
1993,14.7,Auckland,Mangere,3
1994,15.2,Auckland,Mangere,3
1995,15.7,Auckland,Mangere,3
1996,15.4,Auckland,Mangere,3
1997,15,Auckland,Mangere,3
1998,16.6,Auckland,Auckland Aero AWS,4
1999,16,Auckland,Auckland Aero AWS,4
2000,15.8,Auckland,Auckland Aero AWS,4
2001,15.8,Auckland,Auckland Aero AWS,4
2002,15.4,Auckland,Auckland Aero AWS,4
2003,15.5,Auckland,Auckland Aero AWS,4
2004,14.9,Auckland,Auckland Aero AWS,4
2005,16.1,Auckland,Auckland Aero AWS,4
2006,15.3,Auckland,Auckland Aero AWS,4
2007,15.6,Auckland,Auckland Aero AWS,4
2008,15.7,Auckland,Auckland Aero AWS,4
2009,15.1,Auckland,Auckland Aero AWS,4
2010,16,Auckland,Auckland Aero AWS,4
2011,15.9,Auckland,Auckland Aero AWS,4
2012,15.4,Auckland,Auckland Aero AWS,4
2013,16.1,Auckland,Auckland Aero AWS,4
2014,15.6,Auckland,Auckland Aero AWS,4
2015,15.7,Auckland,Auckland Aero AWS,4
2016,16.3,Auckland,Auckland Aero AWS,4
1912,11.6,Masterton,Waingawa,1
1913,12,Masterton,Waingawa,1
1914,11.7,Masterton,Waingawa,1
1915,12.8,Masterton,Waingawa,1
1916,13.8,Masterton,Waingawa,1
1917,13.7,Masterton,Waingawa,1
1918,12.5,Masterton,Waingawa,1
1919,12.2,Masterton,Waingawa,1
1920,,Masterton,Waingawa,2
1921,12.3,Masterton,Waingawa,2
1922,12.3,Masterton,Waingawa,2
1923,12.2,Masterton,Waingawa,2
1924,13.2,Masterton,Waingawa,2
1925,12.2,Masterton,Waingawa,2
1926,12.2,Masterton,Waingawa,2
1927,12.3,Masterton,Waingawa,2
1928,12.9,Masterton,Waingawa,2
1929,12.3,Masterton,Waingawa,2
1930,11.3,Masterton,Waingawa,2
1931,11.8,Masterton,Waingawa,2
1932,11.7,Masterton,Waingawa,2
1933,12.4,Masterton,Waingawa,2
1934,12.3,Masterton,Waingawa,2
1935,12.7,Masterton,Waingawa,2
1936,12.1,Masterton,Waingawa,2
1937,11.9,Masterton,Waingawa,2
1938,13.2,Masterton,Waingawa,2
1939,12.3,Masterton,Waingawa,2
1940,11.7,Masterton,Waingawa,2
1941,12,Masterton,Waingawa,2
1942,12.1,Masterton,Waingawa,2
1943,11.9,Masterton,Waingawa,3
1944,11.7,Masterton,Waingawa,3
1945,,Masterton,Waingawa,3
1946,11.8,Masterton,Waingawa,3
1947,,Masterton,Waingawa,3
1948,12.4,Masterton,Waingawa,3
1949,12.1,Masterton,Waingawa,3
1950,12,Masterton,Waingawa,3
1951,11.8,Masterton,Waingawa,3
1952,12.3,Masterton,Waingawa,3
1953,11.9,Masterton,Waingawa,3
1954,,Masterton,Waingawa,3
1955,12.9,Masterton,Waingawa,3
1956,12.9,Masterton,Waingawa,3
1957,12.6,Masterton,Waingawa,3
1958,12.6,Masterton,Waingawa,3
1959,12,Masterton,Waingawa,3
1960,12,Masterton,Waingawa,3
1961,12.2,Masterton,Waingawa,3
1962,,Masterton,Waingawa,3
1963,12,Masterton,Waingawa,3
1964,12.2,Masterton,Waingawa,3
1965,12,Masterton,Waingawa,3
1966,12,Masterton,Waingawa,3
1967,12.1,Masterton,Waingawa,3
1968,12.4,Masterton,Waingawa,3
1969,12.2,Masterton,Waingawa,3
1970,13,Masterton,Waingawa,3
1971,12.9,Masterton,Waingawa,3
1972,12.2,Masterton,Waingawa,3
1973,13.1,Masterton,Waingawa,3
1974,12.8,Masterton,Waingawa,3
1975,12.7,Masterton,Waingawa,3
1976,11.6,Masterton,Waingawa,3
1977,,Masterton,Waingawa,3
1978,13,Masterton,Waingawa,3
1979,12.8,Masterton,Waingawa,3
1980,12.2,Masterton,Waingawa,3
1981,13.2,Masterton,Waingawa,3
1982,12.2,Masterton,Waingawa,3
1983,12.3,Masterton,Waingawa,3
1984,12.8,Masterton,Waingawa,3
1985,12.9,Masterton,Waingawa,3
1986,,Masterton,Waingawa,3
1987,12.6,Masterton,Waingawa,3
1988,13.2,Masterton,Waingawa,3
1989,13.1,Masterton,Waingawa,3
1990,13.1,Masterton,East Taratahi,4
1991,,Masterton,East Taratahi,4
1992,11.2,Masterton,East Taratahi,4
1993,11.4,Masterton,East Taratahi,4
1994,12.4,Masterton,East Taratahi,4
1995,12.7,Masterton,East Taratahi,4
1996,12.3,Masterton,East Taratahi,4
1997,11.9,Masterton,East Taratahi,4
1998,13.5,Masterton,East Taratahi,4
1999,13.1,Masterton,East Taratahi,4
2000,12.5,Masterton,East Taratahi,4
2001,12.7,Masterton,East Taratahi,4
2002,12.5,Masterton,East Taratahi,4
2003,12.5,Masterton,East Taratahi,4
2004,12.3,Masterton,East Taratahi,4
2005,13,Masterton,East Taratahi,4
2006,12.4,Masterton,East Taratahi,4
2007,12.6,Masterton,East Taratahi,4
2008,12.9,Masterton,East Taratahi,4
2009,12.3,Masterton,Martinborough EWS,5
2010,13.3,Masterton,Martinborough EWS,5
2011,12.9,Masterton,Martinborough EWS,5
2012,12.3,Masterton,Martinborough EWS,5
2013,13.6,Masterton,Martinborough EWS,5
2014,12.7,Masterton,Martinborough EWS,5
2015,12.3,Masterton,Martinborough EWS,5
1907,13,Wellington,Buckle Street,1
1908,12.6,Wellington,Buckle Street,1
1909,13.3,Wellington,Buckle Street,1
1910,13.4,Wellington,Buckle Street,1
1911,13.1,Wellington,Buckle Street,1
1912,,Wellington,Thorndon,2
1913,12.9,Wellington,Thorndon,2
1914,13,Wellington,Thorndon,2
1915,13.2,Wellington,Thorndon,2
1916,14,Wellington,Thorndon,2
1917,14,Wellington,Thorndon,2
1918,13.1,Wellington,Thorndon,2
1919,12.5,Wellington,Thorndon,2
1920,12.5,Wellington,Thorndon,2
1921,12.9,Wellington,Thorndon,2
1922,13.3,Wellington,Thorndon,2
1923,13.1,Wellington,Thorndon,2
1924,13.9,Wellington,Thorndon,2
1925,12.9,Wellington,Thorndon,2
1926,12.9,Wellington,Thorndon,2
1927,13,Wellington,Thorndon,2
1928,12.8,Wellington,Kelburn,3
1929,12,Wellington,Kelburn,3
1930,11.4,Wellington,Kelburn,3
1931,11.6,Wellington,Kelburn,3
1932,11.7,Wellington,Kelburn,3
1933,12.4,Wellington,Kelburn,3
1934,12.7,Wellington,Kelburn,3
1935,12.8,Wellington,Kelburn,3
1936,12.2,Wellington,Kelburn,3
1937,12,Wellington,Kelburn,3
1938,13.1,Wellington,Kelburn,3
1939,12.3,Wellington,Kelburn,3
1940,12.1,Wellington,Kelburn,3
1941,12.1,Wellington,Kelburn,3
1942,12.4,Wellington,Kelburn,3
1943,12.2,Wellington,Kelburn,3
1944,12.1,Wellington,Kelburn,3
1945,11.9,Wellington,Kelburn,3
1946,12.2,Wellington,Kelburn,3
1947,12.4,Wellington,Kelburn,3
1948,12.7,Wellington,Kelburn,3
1949,12.3,Wellington,Kelburn,3
1950,12.3,Wellington,Kelburn,3
1951,12.1,Wellington,Kelburn,3
1952,12.5,Wellington,Kelburn,3
1953,12.2,Wellington,Kelburn,3
1954,12.7,Wellington,Kelburn,3
1955,12.9,Wellington,Kelburn,3
1956,13.2,Wellington,Kelburn,3
1957,13,Wellington,Kelburn,3
1958,12.8,Wellington,Kelburn,3
1959,12.6,Wellington,Kelburn,3
1960,12.5,Wellington,Kelburn,3
1961,12.7,Wellington,Kelburn,3
1962,13.5,Wellington,Kelburn,3
1963,12.3,Wellington,Kelburn,3
1964,12.5,Wellington,Kelburn,3
1965,12.2,Wellington,Kelburn,3
1966,12.2,Wellington,Kelburn,3
1967,12.4,Wellington,Kelburn,3
1968,12.5,Wellington,Kelburn,3
1969,12.5,Wellington,Kelburn,3
1970,13.2,Wellington,Kelburn,3
1971,13.5,Wellington,Kelburn,3
1972,12.4,Wellington,Kelburn,3
1973,12.9,Wellington,Kelburn,3
1974,12.8,Wellington,Kelburn,3
1975,13,Wellington,Kelburn,3
1976,12,Wellington,Kelburn,3
1977,11.9,Wellington,Kelburn,3
1978,13,Wellington,Kelburn,3
1979,12.8,Wellington,Kelburn,3
1980,12.5,Wellington,Kelburn,3
1981,13.1,Wellington,Kelburn,3
1982,12.4,Wellington,Kelburn,3
1983,12.3,Wellington,Kelburn,3
1984,13.1,Wellington,Kelburn,3
1985,13.2,Wellington,Kelburn,3
1986,13.1,Wellington,Kelburn,3
1987,13.1,Wellington,Kelburn,3
1988,13.2,Wellington,Kelburn,3
1989,13.1,Wellington,Kelburn,3
1990,13.4,Wellington,Kelburn,3
1991,12.6,Wellington,Kelburn,3
1992,11.7,Wellington,Kelburn,3
1993,12.2,Wellington,Kelburn,3
1994,12.8,Wellington,Kelburn,3
1995,12.8,Wellington,Kelburn,3
1996,12.8,Wellington,Kelburn,3
1997,12.5,Wellington,Kelburn,3
1998,13.7,Wellington,Kelburn,3
1999,13.8,Wellington,Kelburn,3
2000,13.1,Wellington,Kelburn,3
2001,13.4,Wellington,Kelburn,3
2002,12.9,Wellington,Kelburn,3
2003,13.1,Wellington,Kelburn,3
2004,12.4,Wellington,Kelburn,3
2005,13.5,Wellington,Kelburn AWS,4
2006,12.5,Wellington,Kelburn AWS,4
2007,12.6,Wellington,Kelburn AWS,4
2008,13.3,Wellington,Kelburn AWS,4
2009,12.5,Wellington,Kelburn AWS,4
2010,13.1,Wellington,Kelburn AWS,4
2011,13.1,Wellington,Kelburn AWS,4
2012,12.7,Wellington,Kelburn AWS,4
2013,13.7,Wellington,Kelburn AWS,4
2014,13.2,Wellington,Kelburn AWS,4
2015,13.1,Wellington,Kelburn AWS,4
2016,13.9,Wellington,Kelburn AWS,4
1908,12.9,Nelson,Nelson,1
1909,13.6,Nelson,Nelson,1
1910,13.6,Nelson,Nelson,1
1911,13.4,Nelson,Nelson,1
1912,12.7,Nelson,Nelson,1
1913,13.2,Nelson,Nelson,1
1914,13,Nelson,Nelson,1
1915,13,Nelson,Nelson,1
1916,14.4,Nelson,Nelson,1
1917,14.2,Nelson,Nelson,1
1918,13,Nelson,Nelson,1
1919,,Nelson,Nelson,2
1920,12.6,Nelson,Nelson,2
1921,12.4,Nelson,Nelson,2
1922,12.6,Nelson,Nelson,2
1923,12.4,Nelson,Nelson,2
1924,13.1,Nelson,Nelson,2
1925,12.1,Nelson,Nelson,2
1926,12.1,Nelson,Nelson,2
1927,11.8,Nelson,Nelson,2
1928,13.5,Nelson,Nelson,2
1929,12.7,Nelson,Nelson,2
1930,11.9,Nelson,Nelson,2
1931,12,Nelson,Nelson,2
1932,12,Nelson,Appleby,3
1933,12.4,Nelson,Appleby,3
1934,12.8,Nelson,Appleby,3
1935,12.9,Nelson,Appleby,3
1936,12.3,Nelson,Appleby,3
1937,12.1,Nelson,Appleby,3
1938,13.4,Nelson,Appleby,3
1939,12.3,Nelson,Appleby,3
1940,12.2,Nelson,Appleby,3
1941,12,Nelson,Appleby,3
1942,12.4,Nelson,Appleby,3
1943,,Nelson,Appleby,3
1944,12.2,Nelson,Appleby,3
1945,12,Nelson,Appleby,3
1946,12.2,Nelson,Appleby,3
1947,12.5,Nelson,Appleby,3
1948,12.5,Nelson,Appleby,3
1949,,Nelson,Appleby,3
1950,12.6,Nelson,Appleby,3
1951,12,Nelson,Appleby,3
1952,12.5,Nelson,Appleby,3
1953,12.4,Nelson,Appleby,3
1954,12.9,Nelson,Appleby,3
1955,13,Nelson,Appleby,3
1956,13,Nelson,Appleby,3
1957,12.9,Nelson,Appleby,3
1958,12.7,Nelson,Appleby,3
1959,12.5,Nelson,Appleby,3
1960,12.7,Nelson,Appleby,3
1961,12.7,Nelson,Appleby,3
1962,13.2,Nelson,Appleby,3
1963,12.5,Nelson,Appleby,3
1964,12.1,Nelson,Appleby,3
1965,12.1,Nelson,Appleby,3
1966,12.3,Nelson,Appleby,3
1967,12.6,Nelson,Appleby,3
1968,12.6,Nelson,Appleby,3
1969,12.3,Nelson,Appleby,3
1970,13.1,Nelson,Appleby,3
1971,13.2,Nelson,Appleby,3
1972,12.5,Nelson,Appleby,3
1973,13,Nelson,Appleby,3
1974,13,Nelson,Appleby,3
1975,12.8,Nelson,Appleby,3
1976,11.9,Nelson,Appleby,3
1977,12,Nelson,Appleby,3
1978,12.9,Nelson,Appleby,3
1979,12.7,Nelson,Appleby,3
1980,12.3,Nelson,Appleby,3
1981,13.1,Nelson,Appleby,3
